#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0216   17   27.8309   36.7531   242.3696   21.6853   35.2796  561.6008551400707
FM   2.70   0.0216   18   11.3843   137.7182   235.8290   17.2865   25.4468  561.6447158226214
FM   2.70   0.0216   20   30.0910   448.3538   223.6031   9.1590   26.8245  561.7260333092596
#--- new collection started at 14:51:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0247   17   22.9491   146.0201   229.5895   20.4111   38.5462  585.9602256927682
FM   2.70   0.0247   18   9.6283   16.7740   223.1749   16.1527   17.4014  586.0042410892119
FM   2.70   0.0247   19   17.5372   165.4285   216.9261   12.0160   26.5078  586.0460730778786
FM   2.70   0.0247   20   37.4700   333.6994   209.8154   7.3408   23.4364  586.0858615108073
#--- new collection started at 14:53:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0300   14   66.5361   800.2311   228.9225   31.6996   76.6379  629.0428950544024
FM   2.70   0.0300   15   47.9629   631.2437   221.2856   26.8688   62.3339  629.0935762735049
FM   2.70   0.0300   16   29.6840   464.5167   213.7008   22.0464   46.5770  629.141752166908
FM   2.70   0.0300   17   12.0822   298.3728   206.1063   17.1827   26.8154  629.1875614457377
FM   2.70   0.0300   18   15.5110   134.8186   198.7866   12.3821   25.3678  629.231145242386
#--- new collection started at 14:56:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0344   14   64.2964   935.1793   215.7897   31.2027   75.0399  656.111267806082
FM   2.70   0.0344   15   44.7711   765.4117   207.5547   26.0679   59.8608  656.1615205986739
FM   2.70   0.0344   16   24.8571   594.8214   199.4164   20.8856   42.1916  656.2093723471962
FM   2.70   0.0344   17   8.7042   425.1095   191.2907   15.6635   21.4697  656.2549311537805
FM   2.70   0.0344   18   21.2168   268.5719   183.9456   10.8304   26.9133  656.2983470391935
#--- new collection started at 14:58:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0400   14   62.1572   1112.5849   199.8952   30.9594   73.6783  690.4371456884957
FM   2.70   0.0400   15   43.3082   952.8133   191.5066   25.7917   58.7080  690.4872934499891
FM   2.70   0.0400   16   22.0328   779.9254   182.7290   20.2059   39.3577  690.5351418178536
FM   2.70   0.0400   17   8.7346   617.3683   174.5351   14.9034   21.1713  690.5807925269947
#--- new collection started at 15:01:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0450   13   68.7925   1283.7484   193.8046   33.0079   78.7851  711.2529712411383
FM   2.70   0.0450   14   49.6072   1121.4604   184.9078   27.5742   63.7715  711.3026752586603
FM   2.70   0.0450   15   28.0890   953.1645   175.8776   21.9148   45.4715  711.3502013915968
FM   2.70   0.0450   16   9.2621   784.9293   167.0749   16.2391   22.6236  711.395668809382
#--- new collection started at 15:04:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0500   12   83.8740   1521.3503   192.0558   37.5986   90.1235  732.4589339912802
FM   2.70   0.0500   13   65.9602   1375.1016   183.4986   32.5195   76.7927  732.5093479916507
FM   2.70   0.0500   14   46.9978   1218.4795   174.6009   27.0758   61.7674  732.5577292210414
FM   2.70   0.0500   15   24.6816   1051.3315   165.4507   21.2752   42.3216  732.6041239981346
FM   2.70   0.0500   16   8.5310   894.7326   156.9749   15.7922   21.2732  732.6485886997896
#--- new collection started at 15:07:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0600   13   69.1716   1615.6678   167.5509   34.0551   79.3520  774.4214253317411
FM   2.70   0.0600   14   50.4414   1475.2665   159.0807   28.8561   65.1003  774.4681511268441
FM   2.70   0.0600   15   29.8490   1321.3573   149.9196   23.1123   47.5082  774.5132024694107
FM   2.70   0.0600   16   9.8459   1166.2737   141.0312   17.3317   23.9218  774.5565885504658
#--- new collection started at 15:10:24---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0700   11   84.9766   1881.3258   161.3553   38.8058   90.3621  796.5452392930131
FM   2.70   0.0700   12   67.1844   1756.0862   153.1681   33.9133   77.7158  796.5900207098553
FM   2.70   0.0700   13   47.3636   1615.8902   144.2288   28.4209   62.6459  796.6334728802234
FM   2.70   0.0700   14   28.6472   1480.4459   135.8636   23.1114   46.3974  796.6755714961386
#--- new collection started at 15:12:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0800   10   87.5460   2041.7959   149.6658   40.0783   91.8589  813.7784189658184
FM   2.70   0.0800   11   69.2761   1919.8384   141.1910   35.0480   79.0971  813.8201199381247
FM   2.70   0.0800   12   52.4979   1806.1364   133.4713   30.3436   66.6110  813.8608041862992
FM   2.70   0.0800   13   34.8354   1685.5528   125.6840   25.3938   52.1948  813.9004306726729
#--- new collection started at 15:15:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.0900   9   81.9536   2140.5200   132.4144   38.6379   86.7631  777.8291029271171
FM   2.70   0.0900   10   64.9548   2033.8442   124.9205   34.0438   75.0948  777.8665257577643
FM   2.70   0.0900   11   48.4591   1930.0427   117.7549   29.5546   63.0100  777.9032375581991
FM   2.70   0.0900   12   29.7015   1810.8013   109.9633   24.4498   47.4977  777.9391920660848
#--- new collection started at 15:17:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:19:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:21:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.1400   7   26.8554   1875.7637   99.8570   23.4671   44.2494  520.2008301642453
#--- new collection started at 15:27:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.70   0.1500   6   17.3907   1790.0342   95.8972   20.1188   33.8429  472.23521221511226
#--- new collection started at 14:07:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:09:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:16:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:17:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:19:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:21:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:24:24---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:26:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:27:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:32:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:35:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:37:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:39:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:42:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:45:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0200   17   27.9368   205.4822   251.8681   20.1327   42.4166  494.35820015575615
FM   2.80   0.0200   21   42.5025   828.4009   229.4409   4.7887   16.8126  494.5111485061975
#--- new collection started at 14:48:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0216   16   42.0516   20.1195   251.6515   23.6014   33.3813  505.22602601957027
FM   2.80   0.0216   19   15.1286   481.5608   233.1182   11.1209   24.6325  505.34960285954486
#--- new collection started at 14:51:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0247   16   38.8621   138.0903   239.7459   22.7370   49.3061  527.1719862305989
FM   2.80   0.0247   18   9.4757   180.6663   227.1196   14.3936   21.6278  527.2568926073154
FM   2.80   0.0247   19   18.1178   339.6956   220.9956   10.2202   24.9208  527.2962822789476
FM   2.80   0.0247   20   35.7245   497.7985   214.9674   6.0581   20.0279  527.3338039686216
#--- new collection started at 14:53:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0300   15   55.9966   554.8860   228.2201   27.1365   65.6892  566.5482808621031
FM   2.80   0.0300   16   38.4074   393.3859   221.2688   22.6338   51.7600  566.5950237895303
FM   2.80   0.0300   17   19.1925   218.4928   213.9278   17.7601   33.9960  566.63949389938
FM   2.80   0.0300   18   8.9881   63.1996   207.2945   13.3562   19.3445  566.6818291429772
FM   2.80   0.0300   19   22.3002   90.4525   200.5800   8.9538   23.1793  566.7221548655557
#--- new collection started at 14:56:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0344   15   53.8047   702.2328   215.3185   26.7485   64.4752  590.2047768166252
FM   2.80   0.0344   16   33.2203   515.3881   206.8458   21.2738   47.6854  590.251589368652
FM   2.80   0.0344   17   17.8454   383.4749   200.6852   17.3262   32.9642  590.2961633268324
FM   2.80   0.0344   18   10.6370   211.1348   192.9971   12.2102   21.5253  590.338620632999
#--- new collection started at 14:58:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0400   13   74.5908   1083.8321   209.0794   32.5182   80.2181  621.5166970577804
FM   2.80   0.0400   14   54.9308   915.0590   200.6344   27.2593   65.6098  621.5659538894727
FM   2.80   0.0400   15   36.5370   756.4856   192.7365   22.2734   50.7766  621.6129761389774
FM   2.80   0.0400   16   16.6172   587.2627   184.6595   16.9819   31.7000  621.6578589646804
FM   2.80   0.0400   17   10.7440   429.3284   177.3532   12.0499   21.7355  621.700695406199
#--- new collection started at 15:02:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:04:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0500   13   76.1454   1319.6161   191.4100   33.1958   81.2360  657.9961128423598
FM   2.80   0.0500   14   55.2695   1152.1816   181.9692   27.4919   65.7561  658.04339200381
FM   2.80   0.0500   15   35.9217   999.0260   173.8663   22.3389   50.4059  658.0887313599669
FM   2.80   0.0500   16   14.4273   825.6752   164.9209   16.4918   29.1494  658.1321918177853
#--- new collection started at 15:07:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0600   13   69.7914   1491.9738   170.9856   32.1000   76.9234  695.2850965776792
FM   2.80   0.0600   14   49.8420   1340.8204   162.2762   26.6632   62.0381  695.3299414996374
FM   2.80   0.0600   15   30.0542   1186.5464   153.5924   21.0943   45.4376  695.3731408735098
FM   2.80   0.0600   16   10.1198   1025.1966   144.5759   15.2075   23.1930  695.4147347882588
#--- new collection started at 15:10:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0700   13   71.8154   1672.4374   158.8844   33.3091   78.6810  714.73073543155
FM   2.80   0.0700   14   55.3553   1545.3796   151.0193   28.4644   66.1535  714.7730099540937
FM   2.80   0.0700   15   33.6625   1392.5384   141.7865   22.6181   48.9656  714.8139368393452
FM   2.80   0.0700   16   14.3507   1250.4771   133.7357   17.2501   29.4267  714.8535144661571
#--- new collection started at 15:12:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0800   11   85.2229   1919.6108   151.9312   37.5668   87.9971  730.2046758398104
FM   2.80   0.0800   12   70.8449   1813.1773   145.0247   33.3379   77.5824  730.2448712465465
FM   2.80   0.0800   13   51.1118   1678.4082   136.2938   27.9251   63.1833  730.2840170464588
FM   2.80   0.0800   14   32.4238   1547.9685   128.1014   22.6821   47.9723  730.3221012265857
#--- new collection started at 15:15:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.0900   10   76.7992   2007.7585   133.7422   35.4953   81.3523  697.0627864965813
FM   2.80   0.0900   11   60.1589   1895.5815   126.2173   30.7893   69.5025  697.0987970833474
FM   2.80   0.0900   12   42.3544   1779.6935   118.7092   25.9392   56.2210  697.1340758187225
FM   2.80   0.0900   13   22.8698   1651.0953   110.7318   20.5857   39.2389  697.1685705906787
#--- new collection started at 15:17:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:20:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.1100   13   21.1782   1771.0583   98.9256   20.4532   37.4589  612.4443011367322
#--- new collection started at 15:21:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.1200   11   17.2900   1733.8607   98.0912   19.2527   33.1815  559.7653833246999
#--- new collection started at 15:23:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:28:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.80   0.1500   6   15.2741   1663.4975   98.9067   17.6549   30.1151  422.360169132475
#--- new collection started at 14:07:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:09:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:43---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:16:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:17:43---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:19:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:21:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:24:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:26:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:27:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:32:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:35:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:37:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:40:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:43:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:45:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:48:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:51:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:53:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0300   16   38.2970   100.2523   228.8751   19.4639   43.5573  461.27135080916116
FM   3.00   0.0300   17   22.4100   55.5256   222.8787   15.3879   30.2788  461.3115751398551
FM   3.00   0.0300   18   8.8913   227.7391   216.3591   10.8349   18.7111  461.3499379704618
FM   3.00   0.0300   19   16.7992   359.5165   211.2174   7.2944   19.5950  461.3865309607219
FM   3.00   0.0300   20   33.9956   514.8324   205.2008   3.1128   11.1893  461.4214589265393
#--- new collection started at 14:56:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0344   15   58.7756   465.3079   224.6622   24.7148   62.4261  480.46476503629054
FM   3.00   0.0344   16   40.5744   295.1635   217.6337   20.0232   48.4432  480.50766356710494
FM   3.00   0.0344   17   22.9616   133.4139   210.8389   15.4949   33.2429  480.54857307491017
FM   3.00   0.0344   18   9.1980   24.4006   204.4418   11.1527   16.3762  480.58759595558394
FM   3.00   0.0344   19   17.7255   172.1295   198.1465   6.8899   18.8312  480.6248563911991
#--- new collection started at 14:58:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0400   14   64.3352   723.6772   211.6943   26.2811   67.0023  505.75913364177666
FM   3.00   0.0400   15   44.9200   552.9110   204.1046   21.2796   52.6571  505.80293976793735
FM   3.00   0.0400   16   28.1181   402.1242   197.4456   16.8344   39.0176  505.84478552346593
FM   3.00   0.0400   17   11.7295   245.3123   190.4727   12.1561   22.6187  505.88475868992816
FM   3.00   0.0400   18   15.4682   86.2829   183.4597   7.3762   18.4110  505.9229471832057
#--- new collection started at 15:02:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0450   13   72.7255   924.4687   206.2348   28.7718   73.4793  520.1652120591577
FM   3.00   0.0450   14   54.3766   758.6587   198.4393   23.7264   59.7953  520.2093398772188
FM   3.00   0.0450   15   36.4806   604.4995   191.0876   18.9633   45.9596  520.2515443846404
FM   3.00   0.0450   16   17.2607   443.0680   183.7155   14.0085   29.1927  520.2919288165251
FM   3.00   0.0450   17   9.5461   295.5769   177.0192   9.4468   18.2114  520.3305690028533
#--- new collection started at 15:04:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0500   13   67.4395   996.2075   194.6701   27.4143   69.6304  534.7564571708597
FM   3.00   0.0500   14   49.1417   842.0950   187.0192   22.5065   56.0888  534.7993125576098
FM   3.00   0.0500   15   30.3777   683.9191   179.3185   17.4544   41.1311  534.8404053644773
FM   3.00   0.0500   16   13.2453   532.3484   172.1781   12.6247   24.6313  534.8798031880848
FM   3.00   0.0500   17   15.4275   364.4333   164.4227   7.2587   18.9206  534.9175436954322
#--- new collection started at 15:07:40---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0600   12   81.4238   1341.2103   183.0737   31.7015   79.9464  564.3683464505705
FM   3.00   0.0600   13   63.9639   1196.2209   175.2953   26.7784   67.2066  564.4108039332161
FM   3.00   0.0600   14   44.9575   1045.0898   167.2768   21.6128   53.0174  564.4516996232614
FM   3.00   0.0600   15   23.8698   880.5870   158.6103   15.9370   35.6884  564.4910608673498
FM   3.00   0.0600   16   10.0118   745.8937   152.0097   11.3693   20.4335  564.5289217501089
#--- new collection started at 15:10:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0700   11   84.1557   1530.2852   170.7679   32.8969   81.9838  578.825704370287
FM   3.00   0.0700   12   65.3258   1382.9167   162.2169   27.5728   68.4192  578.8656638463856
FM   3.00   0.0700   13   46.2093   1235.2921   153.9604   22.2518   54.1378  578.9043464412421
FM   3.00   0.0700   14   26.2709   1086.0634   145.9256   16.8890   38.0776  578.9417350764543
FM   3.00   0.0700   15   10.3028   947.2915   138.6096   11.8854   21.1118  578.9778616283996
#--- new collection started at 15:12:47---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0800   11   86.8209   1708.9324   158.6036   34.0914   83.7854  590.5212831218216
FM   3.00   0.0800   12   68.1831   1568.5231   150.1990   28.7958   70.5603  590.5586925277919
FM   3.00   0.0800   13   50.5766   1432.7469   142.2645   23.6626   57.3395  590.5950947803276
FM   3.00   0.0800   14   30.0268   1287.7957   133.8644   18.1334   41.3662  590.630458302471
FM   3.00   0.0800   15   12.1032   1151.1818   126.4879   13.0049   23.7683  590.6647774688425
#--- new collection started at 15:15:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.0900   9   80.8271   1827.5189   141.8395   32.9199   79.4498  562.4699127315173
FM   3.00   0.0900   10   61.6553   1693.0189   133.4420   27.5595   66.0188  562.5036127031142
FM   3.00   0.0900   11   43.4827   1560.4736   125.6009   22.3246   52.3602  562.5366176920821
FM   3.00   0.0900   12   24.6927   1429.0106   117.8748   17.0852   36.9647  562.5688744113795
#--- new collection started at 15:17:47---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:20:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:22:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:45---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.00   0.1400   7   20.1940   1496.4413   107.4798   15.8428   32.6232  375.4596228143034
#--- new collection started at 15:28:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:09:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:41---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:47---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:16:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:17:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:19:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:21:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:24:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:26:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:27:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:30:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:33:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:35:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:37:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:40:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:43:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:45:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   3.10   0.0200   19   9.2140   933.5627   255.1445   9.9768   18.7132  365.54160009713536
#--- new collection started at 14:48:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
