#--- new collection started at 14:32:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0400   12   68.8909   795.8722   218.0648   29.1221   73.1312  458.20449711989755
FM   2.90   0.0400   13   54.2456   662.2210   211.6709   25.1406   62.0681  458.24009328398137
FM   2.90   0.0400   14   37.0105   511.4776   204.6201   20.6488   48.6082  458.27436227550663
FM   2.90   0.0400   15   19.2670   360.2551   197.7088   16.1402   32.8696  458.3073648957524
FM   2.90   0.0400   16   9.1311   214.6877   191.0078   11.7443   19.5544  458.3391518681153
FM   2.90   0.0400   17   20.8691   81.2411   184.8861   7.6762   20.4177  458.36973732112847
#--- new collection started at 15:24:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0450   12   65.5142   856.4439   209.6703   28.2864   70.7295  441.95209231974485
FM   2.90   0.0450   13   49.2080   713.3621   202.5655   23.8814   58.3653  441.98349577340446
FM   2.90   0.0450   14   29.7272   550.8835   194.8462   18.9141   42.8002  442.01389918489775
FM   2.90   0.0450   15   14.2000   413.9617   188.3278   14.6821   27.3489  442.04331684040216
FM   2.90   0.0450   16   10.6529   285.2241   182.3013   10.6927   20.3682  442.07174435154604
#--- new collection started at 15:26:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0500   10   78.0762   1045.5577   208.5519   31.6513   79.7548  423.2369119300164
FM   2.90   0.0500   11   59.2827   888.5791   200.3799   26.6867   66.1637  423.2647853740604
FM   2.90   0.0500   12   43.6557   755.0793   193.7422   22.4968   54.1689  423.2919559646584
FM   2.90   0.0500   13   25.1699   607.1662   186.4206   17.8168   38.8848  423.31837687237913
FM   2.90   0.0500   14   10.9362   472.4351   179.5902   13.4661   23.0701  423.3440620826608
#--- new collection started at 15:28:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:30:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0700   3   50.8474   1100.6838   176.3353   25.0470   60.4494  342.76648348540834
FM   2.90   0.0700   5   13.4535   813.0477   160.2981   15.0030   26.9448  342.7932929699653
#--- new collection started at 15:31:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:32:36---
