#--- new collection started at 19:49:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0080   1   78.3393   211.3216
FM   1.10   0.0080   4   78.3393   211.3216
FM   1.10   0.0080   16   78.3393   211.3216
FM   1.10   0.0080   13   78.3393   211.3216
FM   1.10   0.0080   10   78.3393   211.3216
FM   1.10   0.0080   7   78.3393   211.3216
FM   1.10   0.0080   19   78.3393   211.3216
FM   1.10   0.0080   22   78.3393   211.3216
#--- new collection started at 20:05:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:29:51---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:01:11---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0125   5   208.6130   401.0241
FM   1.10   0.0125   6   109.0429   240.3070
FM   1.10   0.0125   8   208.6130   401.0241
FM   1.10   0.0125   9   109.0429   240.3070
FM   1.10   0.0125   2   208.6130   401.0241
FM   1.10   0.0125   3   109.0429   240.3070
FM   1.10   0.0125   11   208.6130   401.0241
FM   1.10   0.0125   12   109.0429   240.3070
#--- new collection started at 22:05:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0135   1   61.1291   174.8526
FM   1.10   0.0135   3   61.1291   174.8526
FM   1.10   0.0135   5   61.1291   174.8526
FM   1.10   0.0135   7   61.1291   174.8526
#--- new collection started at 21:01:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0140   1   47.9855   145.5124
FM   1.10   0.0140   13   47.9855   145.5124
FM   1.10   0.0140   15   47.9855   145.5124
FM   1.10   0.0140   3   47.9855   145.5124
FM   1.10   0.0140   11   47.9855   145.5124
FM   1.10   0.0140   5   47.9855   145.5124
FM   1.10   0.0140   7   47.9855   145.5124
FM   1.10   0.0140   9   47.9855   145.5124
#--- new collection started at 22:37:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0200   2   301.1255   500.8039
FM   1.10   0.0200   22   301.1255   500.8039
FM   1.10   0.0200   20   301.1255   500.8039
FM   1.10   0.0200   18   301.1255   500.8039
FM   1.10   0.0200   14   301.1255   500.8039
FM   1.10   0.0200   16   301.1255   500.8039
FM   1.10   0.0200   4   301.1255   500.8039
FM   1.10   0.0200   6   301.1255   500.8039
FM   1.10   0.0200   8   301.1255   500.8039
FM   1.10   0.0200   10   301.1255   500.8039
FM   1.10   0.0200   12   301.1255   500.8039
#--- new collection started at 22:09:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:13:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0247   4   54.1608   142.3183
FM   1.10   0.0247   6   9.0835   33.7262
FM   1.10   0.0247   7   54.1608   142.3183
FM   1.10   0.0247   9   9.0835   33.7262
FM   1.10   0.0247   1   54.1608   142.3183
FM   1.10   0.0247   3   9.0835   33.7262
#--- new collection started at 22:54:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 10:55:48---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 23:19:57---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 12:03:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:28:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 01:12:21---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 01:52:23---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:24:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:49:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:09:11---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:38:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:58:07---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:13:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:26:18---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.1500   3   52.1728   100.8692
FM   1.10   0.1500   18   52.1728   100.8692
FM   1.10   0.1500   21   52.1728   100.8692
FM   1.10   0.1500   6   52.1728   100.8692
FM   1.10   0.1500   9   52.1728   100.8692
FM   1.10   0.1500   12   52.1728   100.8692
FM   1.10   0.1500   15   52.1728   100.8692
#--- new collection started at 19:14:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:36:14---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:38:23---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0018   15   74.3659   201.6522
FM   1.20   0.0018   16   34.0825   110.7428
FM   1.20   0.0018   17   45.4243   140.9008
FM   1.20   0.0018   12   45.4243   140.9008
FM   1.20   0.0018   10   74.3659   201.6522
FM   1.20   0.0018   11   34.0825   110.7428
FM   1.20   0.0018   1   74.3659   201.6522
FM   1.20   0.0018   2   34.0825   110.7428
FM   1.20   0.0018   3   45.4243   140.9008
FM   1.20   0.0018   5   74.3659   201.6522
FM   1.20   0.0018   6   34.0825   110.7428
FM   1.20   0.0018   7   45.4243   140.9008
#--- new collection started at 19:16:32---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0020   14   43.8198   135.4957
FM   1.20   0.0020   15   64.9668   184.8594
FM   1.20   0.0020   10   11.8405   43.8552
FM   1.20   0.0020   1   74.5345   201.9793
FM   1.20   0.0020   2   43.8198   135.4957
FM   1.20   0.0020   3   64.9668   184.8594
FM   1.20   0.0020   4   11.8405   43.8552
FM   1.20   0.0020   7   74.5345   201.9793
FM   1.20   0.0020   8   43.8198   135.4957
FM   1.20   0.0020   9   64.9668   184.8594
FM   1.20   0.0020   13   74.5345   201.9793
FM   1.20   0.0020   16   11.8405   43.8552
FM   1.20   0.0020   19   74.5345   201.9793
FM   1.20   0.0020   20   43.8198   135.4957
FM   1.20   0.0020   21   64.9668   184.8594
FM   1.20   0.0020   22   11.8405   43.8552
FM   1.20   0.0020   25   74.5345   201.9793
FM   1.20   0.0020   26   43.8198   135.4957
FM   1.20   0.0020   27   64.9668   184.8594
FM   1.20   0.0020   28   11.8405   43.8552
#--- new collection started at 13:40:36---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0025   6   63.4251   179.7591
FM   1.20   0.0025   7   28.9698   96.6283
FM   1.20   0.0025   8   57.2811   168.1833
FM   1.20   0.0025   9   21.9837   76.3995
FM   1.20   0.0025   1   63.4251   179.7591
FM   1.20   0.0025   2   28.9698   96.6283
FM   1.20   0.0025   3   57.2811   168.1833
FM   1.20   0.0025   4   21.9837   76.3995
FM   1.20   0.0025   11   63.4251   179.7591
FM   1.20   0.0025   12   28.9698   96.6283
FM   1.20   0.0025   13   57.2811   168.1833
FM   1.20   0.0025   14   21.9837   76.3995
FM   1.20   0.0025   16   63.4251   179.7591
FM   1.20   0.0025   17   28.9698   96.6283
FM   1.20   0.0025   18   57.2811   168.1833
FM   1.20   0.0025   19   21.9837   76.3995
#--- new collection started at 19:21:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0030   28   25.7042   87.9239
FM   1.20   0.0030   29   65.5637   178.2199
FM   1.20   0.0030   16   38.2662   121.6817
FM   1.20   0.0030   17   88.7047   230.0620
FM   1.20   0.0030   11   38.2662   121.6817
FM   1.20   0.0030   12   88.7047   230.0620
FM   1.20   0.0030   13   25.7042   87.9239
FM   1.20   0.0030   14   65.5637   178.2199
FM   1.20   0.0030   1   38.2662   121.6817
