#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:57:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:18:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:20:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:23:02---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:25:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0070   1   32.7343   39.3588
O1   1.40   0.0070   2   33.7560   54.8659
#--- new collection started at 13:27:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0080   1   126.4607   177.3612
O1   1.40   0.0080   2   84.1131   131.8112
O1   1.40   0.0080   3   22.5035   58.9490
#--- new collection started at 13:29:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:31:48---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:34:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0125   1   158.3261   205.9296
O1   1.40   0.0125   2   128.4812   170.3067
O1   1.40   0.0125   3   86.7720   124.4768
O1   1.40   0.0125   4   31.6439   65.9814
#--- new collection started at 13:36:20---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0135   1   148.7219   192.2160
O1   1.40   0.0135   2   114.5147   152.7325
#--- new collection started at 13:38:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0140   1   156.8530   201.5769
O1   1.40   0.0140   2   126.6073   165.1260
O1   1.40   0.0140   3   88.0772   123.0448
O1   1.40   0.0140   4   30.0687   61.6621
#--- new collection started at 13:40:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0200   1   136.5169   164.4749
O1   1.40   0.0200   2   108.5626   130.6726
O1   1.40   0.0200   3   74.5456   96.4200
#--- new collection started at 13:50:48---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0216   1   138.4200   165.7211
O1   1.40   0.0216   2   111.5884   131.7892
O1   1.40   0.0216   3   83.0510   102.6908
O1   1.40   0.0216   4   27.4246   55.1230
#--- new collection started at 13:54:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0247   1   136.7857   159.9630
O1   1.40   0.0247   2   114.0993   130.0719
O1   1.40   0.0247   3   87.2676   101.7011
#--- new collection started at 13:45:58---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0300   1   124.2102   135.0540
O1   1.40   0.0300   2   109.1818   115.7173
O1   1.40   0.0300   3   79.5347   85.6752
O1   1.40   0.0300   4   50.1057   67.9288
O1   1.40   0.0300   5   181.4456   190.8407
O1   1.40   0.0300   7   553.5218   228.0139
#--- new collection started at 14:31:23---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0344   3   67.8737   69.8133
O1   1.40   0.0344   4   37.5427   56.4880
O1   1.40   0.0344   5   181.1566   195.4523
O1   1.40   0.0344   2   95.2435   92.1786
O1   1.40   0.0344   1   126.4299   132.2312
#--- new collection started at 13:57:56---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 14:53:44---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0500   1   101.0839   70.9826
O1   1.40   0.0500   2   67.7544   49.4916
O1   1.40   0.0500   5   451.1631   306.9883
O1   1.40   0.0500   3   34.5554   54.8117
#--- new collection started at 15:25:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0600   1   41.2369   60.4823
O1   1.40   0.0600   3   349.0806   295.4231
#--- new collection started at 14:32:34---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.0700   1   46.1589   64.7309
#--- new collection started at 14:47:05---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 14:59:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 15:06:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 15:13:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 15:23:08---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 15:29:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 15:36:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.40   0.1400   1   30.5193   59.5579
#--- new collection started at 15:42:27---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:12:02---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:53:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:55:32---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:14:13---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:56:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:16:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:57:31---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:18:39---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:20:54---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:23:07---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:25:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0070   1   32.7343   39.3588
O1   1.50   0.0070   2   33.7560   54.8659
#--- new collection started at 13:27:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0080   1   129.1347   160.6419
O1   1.50   0.0080   2   90.4585   123.0673
O1   1.50   0.0080   3   38.9420   72.9873
#--- new collection started at 13:29:54---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0095   1   146.9781   180.8232
O1   1.50   0.0095   2   116.9137   144.7610
O1   1.50   0.0095   3   73.6650   99.9195
O1   1.50   0.0095   4   15.8258   38.4642
#--- new collection started at 13:32:04---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0100   1   150.9686   185.7515
O1   1.50   0.0100   2   119.3302   145.9494
O1   1.50   0.0100   3   79.5604   104.2344
O1   1.50   0.0100   4   23.4434   48.2602
#--- new collection started at 13:34:15---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0125   1   141.6177   170.3123
O1   1.50   0.0125   2   107.6660   130.6128
O1   1.50   0.0125   3   63.7071   84.4018
#--- new collection started at 13:36:24---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0135   1   150.6755   181.5077
O1   1.50   0.0135   2   120.6785   143.4850
O1   1.50   0.0135   3   79.7180   98.7485
O1   1.50   0.0135   4   25.7236   47.8856
#--- new collection started at 13:38:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0140   1   157.5715   190.2870
O1   1.50   0.0140   2   132.6387   156.7542
O1   1.50   0.0140   3   95.9887   115.3277
O1   1.50   0.0140   4   48.0315   68.0331
#--- new collection started at 13:42:07---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0200   1   155.1779   177.0081
O1   1.50   0.0200   2   135.3187   149.7296
O1   1.50   0.0200   3   106.2773   115.4627
O1   1.50   0.0200   4   69.7346   81.0177
#--- new collection started at 13:50:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0216   1   145.3671   161.4031
O1   1.50   0.0216   2   121.1704   130.2356
O1   1.50   0.0216   3   91.7319   98.3151
O1   1.50   0.0216   4   48.8947   67.2126
#--- new collection started at 13:54:34---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:45:34---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 14:31:30---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0344   1   117.8728   108.7940
O1   1.50   0.0344   2   100.7675   91.7042
O1   1.50   0.0344   3   74.5941   77.9923
#--- new collection started at 13:57:41---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0400   1   125.1644   111.1279
O1   1.50   0.0400   2   100.9980   81.8126
O1   1.50   0.0400   3   82.5935   73.6630
O1   1.50   0.0400   4   54.2488   66.9436
O1   1.50   0.0400   5   164.6079   191.4828
#--- new collection started at 14:54:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0500   1   112.5506   81.5858
O1   1.50   0.0500   2   86.7797   58.9296
O1   1.50   0.0500   3   66.9102   61.1972
O1   1.50   0.0500   4   38.0503   64.5893
O1   1.50   0.0500   5   182.3788   210.2716
O1   1.50   0.0500   7   514.4637   346.8768
#--- new collection started at 15:25:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0600   2   67.8413   62.1315
O1   1.50   0.0600   3   46.5574   73.1109
O1   1.50   0.0600   5   82.3249   119.2009
O1   1.50   0.0600   1   100.9970   55.2516
#--- new collection started at 14:32:43---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0700   4   367.3042   336.5300
O1   1.50   0.0700   5   59.6566   105.5477
O1   1.50   0.0700   1   65.9307   69.5920
#--- new collection started at 14:47:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0800   5   76.7872   131.5169
#--- new collection started at 14:59:48---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.0900   1   76.9780   74.3006
#--- new collection started at 15:06:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.50   0.1000   3   94.2262   49.3294
O1   1.50   0.1000   4   46.5815   60.5276
