#mass   Z   median_TP_age (Myr)
3.40  0.0070  206.9678
3.40  0.0005  158.9505
3.40  0.0216  282.5971
3.40  0.0247  294.6133
3.40  0.0013  168.8342
3.40  0.0344  328.2336
3.50  0.0800  363.8908
3.50  0.1000  330.8541
3.50  0.1500  212.2746
3.50  0.0600  350.0338
3.50  0.1100  304.1780
3.50  0.1200  279.1088
3.50  0.1300  255.4988
3.50  0.0080  197.2501
3.50  0.0095  205.6576
3.50  0.0100  208.6285
3.50  0.0200  254.1055
3.50  0.0040  177.8144
3.50  0.0050  182.4857
3.50  0.0001  142.3349
3.50  0.0010  154.7112
3.50  0.0020  163.9022
3.50  0.0005  148.6513
3.50  0.0135  223.8647
3.50  0.0247  270.2665
3.50  0.0018  162.1269
3.50  0.0025  167.5393
3.50  0.0344  300.3099
3.60  0.1000  303.0775
3.60  0.1300  233.9376
3.60  0.0013  147.4823
3.60  0.0010  144.8961
3.60  0.0050  170.1790
3.60  0.0070  178.7824
3.60  0.0125  202.6511
3.60  0.0135  206.6993
3.60  0.0140  208.5066
3.60  0.0200  204.0470
3.60  0.0216  239.3113
3.60  0.0247  248.6013
3.60  0.0300  265.7284
3.60  0.0500  305.2527
3.60  0.0600  320.4318
3.60  0.0700  327.9699
3.60  0.0900  317.5436
3.60  0.1100  278.6344
3.60  0.1200  255.5041
3.60  0.0018  151.5518
3.60  0.0025  156.5679
3.60  0.0344  276.1281
3.70  0.0010  135.9504
3.70  0.0020  143.5567
3.70  0.0030  149.6405
3.70  0.0050  159.0983
3.70  0.0060  162.9038
3.70  0.0095  177.5863
3.70  0.0125  188.0855
3.70  0.0140  193.5461
3.70  0.0216  221.1936
3.70  0.0247  229.3403
3.70  0.0300  244.6786
3.70  0.0400  266.3379
3.70  0.0500  280.6689
3.70  0.0600  294.2779
3.70  0.0700  301.1613
3.70  0.0900  291.3818
3.70  0.1000  278.2690
3.70  0.1300  215.2164
3.70  0.1500  179.8280
3.70  0.0013  138.3494
3.70  0.0018  142.0972
3.70  0.0036  153.0647
3.70  0.0344  254.2822
3.80  0.0036  143.4259
3.80  0.1000  256.1381
3.80  0.1300  198.5804
